Timestamp,TC_b2s3m6_inlet,TC_b2s3m4_outlet,Qs3m654(W),,,,,time,,ics_envelopecassette1.ics_stack1.ics_module3.modulereceiver1.ThermalGen.Q_flow
1:57 PM,28.49397137,39.20825879,57.49572008,,,,,28561716.21,13:48:36,18.42901629
1:57 PM,28.64799053,39.33661001,57.34966529,,,,,28561722.95,13:48:43,18.42998562
1:57 PM,28.81750443,39.48152727,57.38873682,,,,,28561723.29,13:48:43,18.43002832
1:57 PM,28.97692457,39.65110216,57.51891328,,,,,28561723.29,13:48:43,17.84867843
1:57 PM,29.10701247,39.80769358,39.87108886,,,,,28561726.21,13:48:46,17.84884366
1:58 PM,29.27573682,40.20964832,40.89578776,,,,,28561726.21,13:48:46,17.84884366
1:58 PM,29.42834985,40.64563529,40.86627984,,,,,28561733.2,13:48:53,17.84915151
1:58 PM,29.57493201,40.78617407,40.01780935,,,,,28561733.81,13:48:54,17.8491728
1:58 PM,29.69296689,40.67441699,38.78017401,,,,,28561733.81,13:48:54,18.16665636
1:58 PM,29.90038309,40.54441227,38.53058798,,,,,28561736.19,13:48:56,18.16681158
1:58 PM,30.09412895,40.67290187,38.36333423,,,,,28561736.19,13:48:56,18.16681158
1:59 PM,30.31603384,40.85223723,38.21080905,,,,,28561737.98,13:48:58,18.16691789
1:59 PM,30.5444864,41.04266741,38.21603174,,,,,28561737.98,13:48:58,17.78345821
1:59 PM,30.7336807,41.23575253,38.26650308,,,,,28561743.44,13:49:03,17.78355172
1:59 PM,30.81183372,41.32948981,38.68601984,,,,,28561753.69,13:49:14,17.78382221
2:01 PM,33.33896373,43.97192518,42.89498452,,,,,28561763.93,13:49:24,17.78420518
2:01 PM,33.54474056,45.38580039,41.60009464,,,,,28561774.18,13:49:34,17.78457523
2:01 PM,33.72964605,45.21648042,40.15139356,,,,,28561777.54,13:49:38,17.78468141
2:02 PM,33.91775765,45.00809846,39.94420452,,,,,28561777.54,13:49:38,17.78468141
2:02 PM,34.08876894,45.12535391,39.91116367,,,,,28561783.8,13:49:44,17.78486705
2:02 PM,34.20767632,45.23801961,39.97437856,,,,,28561783.8,13:49:44,21.37235473
2:02 PM,34.36509298,45.41604825,40.01146231,,,,,28561784.43,13:49:44,21.37266938
2:02 PM,34.52673877,45.59078982,40.00369877,,,,,28561786.19,13:49:46,21.37350405
2:02 PM,34.68883832,45.75394814,39.98637261,,,,,28561786.19,13:49:46,21.37350405
2:03 PM,34.8149436,45.87833132,39.92204908,,,,,28561792.16,13:49:52,21.37624111
2:03 PM,34.97347523,46.02137164,39.97288774,,,,,28561792.16,13:49:52,21.00092991
2:03 PM,35.12061634,46.18599846,39.94431746,,,,,28561794.67,13:49:55,21.00192497
2:03 PM,35.26635538,46.32675739,40.00437987,,,,,28561796.19,13:49:56,21.00251413
