Timestamp,exp_inlet,exp_outlet,exp_water_flowrate,exp_heatgen
01/15/2015 01:15:59.022 PM,24.93514457,24.3254305,6.224514927,-15.86003344
01/15/2015 01:16:09.052 PM,24.95893897,24.37736761,6.224522527,-15.12799684
01/15/2015 01:16:19.083 PM,24.98473291,24.40917018,6.224442046,-14.97150508
01/15/2015 01:16:29.063 PM,25.01569781,24.44734021,6.224413834,-14.78401871
01/15/2015 01:16:39.144 PM,25.02594262,24.46390516,6.224332396,-14.61942915
01/15/2015 01:16:49.174 PM,25.03770163,24.48499448,6.224357938,-14.37679294
01/15/2015 01:16:59.205 PM,25.0421305,24.51529691,6.224309281,-13.7036731
01/15/2015 01:17:09.217 PM,25.06079022,24.50804778,6.224151178,-14.37723325
01/15/2015 01:17:19.227 PM,25.07977787,24.61281348,6.2240043,-12.14579708
01/15/2015 01:17:29.238 PM,25.0902069,24.84688432,6.22390894,-6.328751027
01/15/2015 01:17:39.198 PM,25.11109338,24.95237826,6.223448726,-4.127829818
01/15/2015 01:17:49.209 PM,25.13526473,24.96869072,6.223295433,-4.332115446
01/15/2015 01:17:59.269 PM,25.13875034,24.98374057,6.223061508,-4.031211067
01/15/2015 01:18:09.279 PM,25.15372101,25.00461108,6.222885212,-3.877668875
01/15/2015 01:18:19.240 PM,25.18373246,25.02428518,6.222593061,-4.146301637
01/15/2015 01:18:29.300 PM,25.19170273,25.05285169,6.222494822,-3.610655373
01/15/2015 01:18:39.311 PM,25.22029764,25.09184811,6.222356038,-3.340102156
01/15/2015 01:18:49.321 PM,25.23223785,25.10527687,6.222052601,-3.301233916
01/15/2015 01:18:59.332 PM,25.25643164,25.13130192,6.221773252,-3.253471706
01/15/2015 01:19:09.342 PM,25.26875646,25.15733567,6.221533193,-2.896916672
01/15/2015 01:19:19.302 PM,25.30839978,25.19064619,6.221277089,-3.06144222
01/15/2015 01:19:29.363 PM,25.3281059,25.21351892,6.221049581,-2.979005727
01/15/2015 01:19:39.323 PM,25.3458122,25.23506463,6.220660914,-2.8790095
01/15/2015 01:19:49.384 PM,25.38215103,25.27080475,6.220295876,-2.894403742
01/15/2015 01:19:59.394 PM,25.41614576,25.30002538,6.219854974,-3.018290722
01/15/2015 01:20:09.355 PM,25.45246509,25.34981466,6.219719666,-2.668111426
01/15/2015 01:20:19.415 PM,25.48238654,25.38046677,6.219137333,-2.648871965
01/15/2015 01:20:29.425 PM,25.51097864,25.36412676,6.218899437,-3.816501414
01/15/2015 01:20:39.386 PM,25.54346564,25.40198562,6.218608468,-3.676721356
01/15/2015 01:20:49.446 PM,25.58314346,25.43973388,6.218194298,-3.726617555
01/15/2015 01:20:59.457 PM,25.59802909,25.45913397,6.217956505,-3.609167582
01/15/2015 01:21:09.417 PM,25.63467706,25.48806237,6.217576478,-3.809526278
01/15/2015 01:21:19.478 PM,25.67069443,25.49537338,6.217325421,-4.55522724
01/15/2015 01:21:29.488 PM,25.68044053,25.52019148,6.217181779,-4.163527106
01/15/2015 01:21:39.498 PM,25.71362946,25.57006364,6.216908367,-3.729905954
01/15/2015 01:21:49.509 PM,25.74613129,25.62316082,6.216495364,-3.194616937
01/15/2015 01:21:59.469 PM,25.77068474,25.65601083,6.21623058,-2.978956253
01/15/2015 01:22:09.475 PM,25.80296876,25.67292862,6.216138152,-3.378084108
01/15/2015 01:22:19.479 PM,25.82197016,25.69026675,6.215735628,-3.421069817
01/15/2015 01:22:29.534 PM,25.85272455,25.72984438,6.215482463,-3.191751091
01/15/2015 01:22:39.538 PM,25.87076845,25.7655759,6.215279573,-2.732234927
01/15/2015 01:22:49.542 PM,25.89327587,25.78507252,6.21502603,-2.810321612
01/15/2015 01:22:59.497 PM,25.90870837,25.80295311,6.214796439,-2.74663673
01/15/2015 01:23:09.551 PM,25.93604895,25.83239777,6.214600241,-2.69190552
01/15/2015 01:23:19.556 PM,25.95786897,25.8498167,6.214279386,-2.806060756
01/15/2015 01:23:29.560 PM,25.97866152,25.85997214,6.214047103,-3.082185479
01/15/2015 01:24:41.242 PM,26.00873615,25.89148725,6.213834755,-3.044674414
01/15/2015 01:24:49.546 PM,26.21974089,26.08212829,6.211641399,-3.572209571
01/15/2015 01:24:59.600 PM,26.23667574,26.11534385,6.21132085,-3.149425213
01/15/2015 01:25:09.554 PM,26.2605503,26.13599017,6.211143498,-3.233128601
01/15/2015 01:25:19.609 PM,26.28418119,26.16353625,6.210811643,-3.131337045
01/15/2015 01:27:19.356 PM,26.30514537,26.16512407,6.210558738,-3.634102236
01/15/2015 01:27:19.656 PM,26.30514537,26.16512407,6.210558738,-3.634102236
01/15/2015 01:27:29.657 PM,26.62472916,26.48985964,6.20720986,-3.498505937
01/15/2015 01:27:39.659 PM,26.64311804,26.50220869,6.206896176,-3.654994016
01/15/2015 01:28:20.115 PM,26.66302824,26.51679543,6.206831047,-3.793037373
01/15/2015 01:28:29.616 PM,26.77771805,26.62322634,6.20571329,-4.0065381
01/15/2015 01:28:39.667 PM,26.79103296,26.64357975,6.205533994,-3.823893056
01/15/2015 01:28:49.669 PM,26.81396903,26.74574802,6.205225289,-1.769082288
01/15/2015 01:28:59.670 PM,26.83968103,26.8256104,6.205195193,-0.364872606
01/15/2015 01:29:09.672 PM,26.86742588,26.83730155,6.204842982,-0.781125095
01/15/2015 01:29:19.623 PM,26.88312939,26.88263449,6.204691204,-0.012832568
01/15/2015 01:29:29.675 PM,26.9062039,26.89420904,6.204513556,-0.311010759
01/15/2015 01:29:39.676 PM,26.92737067,26.82211372,6.204128926,-2.729002563
01/15/2015 01:29:49.627 PM,26.94931953,26.76761458,6.204125462,-4.711071792
01/15/2015 01:29:59.679 PM,26.97129663,26.84071066,6.203839227,-3.385551362
01/15/2015 01:30:09.680 PM,27.0050126,26.91116739,6.203468149,-2.432870901
01/15/2015 01:30:19.632 PM,27.03294926,26.94607806,6.203281552,-2.252006686
01/15/2015 01:30:29.683 PM,27.04420892,26.96043998,6.203151641,-2.171539795
01/15/2015 01:30:39.635 PM,27.08247204,26.99198325,6.202671511,-2.345556871
01/15/2015 01:30:49.686 PM,27.09276309,27.00858981,6.202438229,-2.181770541
01/15/2015 01:30:59.637 PM,27.13714081,27.05483344,6.202290083,-2.133355011
01/15/2015 01:31:09.689 PM,27.15589419,27.05467835,6.202005894,-2.623330646
01/15/2015 01:31:19.690 PM,27.1791409,27.06689938,6.201475117,-2.908847143
01/15/2015 01:31:29.642 PM,27.21365109,27.0799269,6.201202901,-3.465439279
01/15/2015 01:31:39.693 PM,27.23884396,27.09526888,6.201034053,-3.720621939
01/15/2015 01:31:49.695 PM,27.25737879,27.12344647,6.20078639,-3.47059977
01/15/2015 01:31:59.696 PM,27.29168295,27.15515106,6.2004411,-3.537765715
01/15/2015 01:32:09.646 PM,27.30454036,27.15295993,6.200273762,-3.927592025
01/15/2015 01:32:19.647 PM,27.34162837,27.19622996,6.199867006,-3.767162785
01/15/2015 01:32:29.697 PM,27.35752761,27.20471298,6.199640391,-3.959166879
01/15/2015 01:32:39.698 PM,27.36731244,27.21345468,6.199583487,-3.98615596
01/15/2015 01:32:49.648 PM,27.38985238,27.28849606,6.199363438,-2.625852442
01/15/2015 01:32:59.699 PM,27.41944382,27.34857087,6.199275014,-1.836089242
01/15/2015 01:33:09.699 PM,27.42837619,27.32514403,6.198973088,-2.674281464
01/15/2015 01:33:19.699 PM,27.46308506,27.34781402,6.198672537,-2.986010109
01/15/2015 01:33:29.650 PM,27.49157774,27.37455814,6.198539377,-3.031240052
01/15/2015 01:33:39.700 PM,27.50841284,27.37938118,6.198191197,-3.342208989
01/15/2015 01:33:49.701 PM,27.52786153,27.40710559,6.19802885,-3.127767615
01/15/2015 01:33:59.701 PM,27.55397573,27.42638582,6.197704574,-3.304605049
01/15/2015 01:34:09.702 PM,27.55916665,27.4410648,6.197558112,-3.058790102
01/15/2015 01:34:19.702 PM,27.59431704,27.45545634,6.197326925,-3.596301577
01/15/2015 01:34:29.702 PM,27.60469467,27.4516821,6.197211744,-3.962742359
01/15/2015 01:34:39.703 PM,27.62900091,27.48271049,6.196954718,-3.788493628
01/15/2015 01:34:49.703 PM,27.65060697,27.51514566,6.196837814,-3.50798543
